 ,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,Unnamed: 11,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa Eastern and Southern,3.0,3.0,3.0,2.9,3.0,3.1,3.0,3.0,3.1,3.0,,2.9,3.0,3.0,3.1,2.9,2.8,2.9,2.8,2.6,2.7,2.6,2.6,2.7,2.6,2.5,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.8,2.8,2.8,2.7,2.7,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.6,2.5
Africa Western and Central,2.6,2.7,2.7,2.7,2.8,2.9,2.8,2.8,2.9,2.7,,2.6,2.7,2.7,2.7,2.7,2.8,2.7,2.6,2.7,2.7,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.5
Caribbean small states,1.1,1.1,1.1,1.0,1.0,1.0,1.0,1.1,1.1,1.1,,1.0,1.0,0.9,0.8,0.7,0.7,0.6,0.7,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.5,1.0,0.7,0.3,0.5,0.3
Arab World,3.0,3.2,3.6,3.5,3.1,3.4,3.5,3.2,3.2,3.2,,3.2,3.0,3.0,3.0,2.7,2.6,3.2,2.2,2.5,2.7,2.7,2.5,2.4,2.4,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.3,2.5,2.7,2.7,2.6,2.4,2.2,2.2,2.3,2.3,2.2,2.1,2.1,2.1,2.1,1.8,1.6,1.8
Central Europe and the Baltics,0.8,0.9,0.9,0.8,0.7,0.6,0.6,0.6,0.6,0.5,,0.5,0.5,0.4,0.4,0.4,0.1,-0.1,-0.2,-0.3,-0.1,0.0,-0.1,-0.2,-0.2,-0.2,-0.2,-0.6,-0.7,-0.7,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.2,-0.4,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.2,-0.2,-0.1,-0.2,-0.8,-1.3
East Asia & Pacific,2.1,1.9,1.7,1.6,1.6,1.6,1.5,1.5,1.6,1.6,,1.5,1.5,1.6,1.6,1.6,1.6,1.5,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.0,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.6,0.5,0.4,0.3,0.2
Europe & Central Asia,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.4,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.2,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.3,0.2,0.1,-0.3
European Union,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.3,0.3,,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.4,0.4,0.4,0.3,0.3,0.3,0.2,0.1,-0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,-0.1,0.0
Latin America & Caribbean,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.2,2.1,2.1,,2.1,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.4,1.4,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.0,0.9,0.9,0.8,0.7,0.7
Middle East & North Africa,2.9,3.1,3.4,3.3,2.9,3.0,3.3,3.6,3.5,3.3,,3.3,3.2,3.2,3.1,3.0,2.9,3.6,2.8,2.7,2.3,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,1.9,1.9,2.0,2.1,2.3,2.4,2.4,2.4,2.2,2.0,2.0,2.1,2.1,2.0,1.9,1.8,1.8,1.7,1.4,1.3,1.5
North America,1.0,1.0,1.0,1.0,1.1,1.1,1.0,1.0,1.0,0.9,,0.9,0.9,0.9,0.9,1.0,1.0,1.2,1.3,1.4,1.3,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.0,0.9,0.9,0.9,0.9,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.7,0.8,0.7,0.8,0.7,0.6,0.6,1.0,0.2,0.5
Pacific island small states,2.0,2.0,2.1,2.1,2.2,2.3,2.3,2.3,2.3,2.2,,2.2,2.2,2.1,1.9,1.8,1.6,1.5,1.3,1.3,1.3,1.3,1.2,1.3,1.5,1.6,1.5,1.5,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.2,1.4,1.4
South Asia,2.4,2.3,2.3,2.3,2.3,2.3,2.4,2.3,2.4,2.4,,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.8,1.7,1.6,1.5,1.5,1.5,1.5,1.5,1.4,1.3,1.3,1.2,1.2,1.2,1.2,1.1,1.1,1.0,0.9
Sub-Saharan Africa,2.8,2.9,2.9,2.8,2.9,3.0,2.9,2.9,3.0,2.9,,2.8,2.9,2.9,2.9,2.8,2.8,2.8,2.7,2.7,2.7,2.6,2.7,2.7,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.6,2.5
"Created from: World Development Indicators
Series : Population growth (annual %)



",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
